COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,111697124796,47,10000,10000,20000
CopyOnWriteArrayList,117760042878,48,10000,10000,20000
CopyOnWriteArrayList,123800405112,49,10000,10000,20000
CopyOnWriteArrayList,130582469870,50,10000,10000,20000
CopyOnWriteArrayList,137993842941,51,10000,10000,20000
CopyOnWriteArrayList,145676490353,52,10000,10000,20000
CopyOnWriteArrayList,153113124740,53,10000,10000,20000
CopyOnWriteArrayList,161147414774,54,10000,10000,20000
CopyOnWriteArrayList,168749961990,55,10000,10000,20000
CopyOnWriteArrayList,177541482350,56,10000,10000,20000
CopyOnWriteArrayList,186885422534,57,10000,10000,20000
CopyOnWriteArrayList,196061137498,58,10000,10000,20000
CopyOnWriteArrayList,205116269708,59,10000,10000,20000
CopyOnWriteArrayList,214914053930,60,10000,10000,20000
SynchronizedList,76516391,1,10000,10000,20000
SynchronizedList,11736913,2,10000,10000,20000
SynchronizedList,11451036,3,10000,10000,20000
SynchronizedList,13647342,4,10000,10000,20000
SynchronizedList,15590959,5,10000,10000,20000
SynchronizedList,16866364,6,10000,10000,20000
SynchronizedList,17110367,7,10000,10000,20000
SynchronizedList,19485638,8,10000,10000,20000
SynchronizedList,16346938,9,10000,10000,20000
SynchronizedList,16643400,10,10000,10000,20000
SynchronizedList,20398615,11,10000,10000,20000
SynchronizedList,19825703,12,10000,10000,20000
SynchronizedList,19848648,13,10000,10000,20000
SynchronizedList,28826644,14,10000,10000,20000
SynchronizedList,30463223,15,10000,10000,20000
SynchronizedList,28398332,16,10000,10000,20000
SynchronizedList,30490423,17,10000,10000,20000
SynchronizedList,30595733,18,10000,10000,20000
SynchronizedList,32159485,19,10000,10000,20000
SynchronizedList,37852288,20,10000,10000,20000
SynchronizedList,40387717,21,10000,10000,20000
SynchronizedList,37035834,22,10000,10000,20000
SynchronizedList,42905713,23,10000,10000,20000
SynchronizedList,40647670,24,10000,10000,20000
SynchronizedList,41746820,25,10000,10000,20000
SynchronizedList,45401621,26,10000,10000,20000
SynchronizedList,42981083,27,10000,10000,20000
SynchronizedList,48865747,28,10000,10000,20000
SynchronizedList,54069585,29,10000,10000,20000
SynchronizedList,44047945,30,10000,10000,20000
SynchronizedList,46671784,31,10000,10000,20000
SynchronizedList,49988450,32,10000,10000,20000
SynchronizedList,52960581,33,10000,10000,20000
SynchronizedList,57543285,34,10000,10000,20000
SynchronizedList,58299002,35,10000,10000,20000
SynchronizedList,60383564,36,10000,10000,20000
SynchronizedList,65441755,37,10000,10000,20000
SynchronizedList,60031999,38,10000,10000,20000
SynchronizedList,74519457,39,10000,10000,20000
SynchronizedList,64611411,40,10000,10000,20000
SynchronizedList,66937948,41,10000,10000,20000
SynchronizedList,63896828,42,10000,10000,20000
SynchronizedList,67951620,43,10000,10000,20000
SynchronizedList,69279733,44,10000,10000,20000
SynchronizedList,74977535,45,10000,10000,20000
SynchronizedList,83293515,46,10000,10000,20000
SynchronizedList,72699770,47,10000,10000,20000
SynchronizedList,69356573,48,10000,10000,20000
SynchronizedList,81506220,49,10000,10000,20000
SynchronizedList,77246908,50,10000,10000,20000
SynchronizedList,76778109,51,10000,10000,20000
SynchronizedList,82074085,52,10000,10000,20000
SynchronizedList,91970332,53,10000,10000,20000
SynchronizedList,90449341,54,10000,10000,20000
SynchronizedList,92223473,55,10000,10000,20000
SynchronizedList,95375079,56,10000,10000,20000
SynchronizedList,93404608,57,10000,10000,20000
SynchronizedList,91456651,58,10000,10000,20000
SynchronizedList,97807331,59,10000,10000,20000
SynchronizedList,103458927,60,10000,10000,20000
CopyOnWriteArrayList,3895780,1,500,500,1000
CopyOnWriteArrayList,7156738,2,500,500,1000
CopyOnWriteArrayList,7439770,3,500,500,1000
CopyOnWriteArrayList,14424157,4,500,500,1000
CopyOnWriteArrayList,14518511,5,500,500,1000
CopyOnWriteArrayList,16572869,6,500,500,1000
CopyOnWriteArrayList,26192611,7,500,500,1000
CopyOnWriteArrayList,18278348,8,500,500,1000
CopyOnWriteArrayList,29335954,9,500,500,1000
CopyOnWriteArrayList,31884108,10,500,500,1000
CopyOnWriteArrayList,32297956,11,500,500,1000
CopyOnWriteArrayList,67017315,12,500,500,1000
CopyOnWriteArrayList,50685393,13,500,500,1000
CopyOnWriteArrayList,48793931,14,500,500,1000
CopyOnWriteArrayList,69881986,15,500,500,1000
CopyOnWriteArrayList,119389368,16,500,500,1000
CopyOnWriteArrayList,58874083,17,500,500,1000
CopyOnWriteArrayList,65212750,18,500,500,1000
CopyOnWriteArrayList,88203033,19,500,500,1000
CopyOnWriteArrayList,103128747,20,500,500,1000
CopyOnWriteArrayList,86644018,21,500,500,1000
CopyOnWriteArrayList,98784220,22,500,500,1000
CopyOnWriteArrayList,105997334,23,500,500,1000
CopyOnWriteArrayList,111441773,24,500,500,1000
CopyOnWriteArrayList,115284843,25,500,500,1000
CopyOnWriteArrayList,122664819,26,500,500,1000
CopyOnWriteArrayList,132455702,27,500,500,1000
CopyOnWriteArrayList,150822461,28,500,500,1000
CopyOnWriteArrayList,151290980,29,500,500,1000
CopyOnWriteArrayList,157275644,30,500,500,1000
CopyOnWriteArrayList,175767868,31,500,500,1000
CopyOnWriteArrayList,189073843,32,500,500,1000
CopyOnWriteArrayList,188522445,33,500,500,1000
CopyOnWriteArrayList,194790829,34,500,500,1000
CopyOnWriteArrayList,218227557,35,500,500,1000
CopyOnWriteArrayList,215130570,36,500,500,1000
CopyOnWriteArrayList,227811164,37,500,500,1000
